,Block,Conditon,EnemyHitPlayer,EnemyType,Success,TotalTime
0,1,1,0,A5,0,0.0001132012248490355
1,1,1,0,B10,0,0.00011772927427955437
2,1,1,0,B4,1,0.0006435866980609717
3,1,1,0,A3,0,0.00010474886676092865
4,1,1,0,B5,1,0.000508047097355302
5,1,1,0,A11,0,0.00011018252553185448
6,1,1,0,B6,0,0.0001563686255394714
7,1,1,0,B10,0,0.00011621992416621652
8,1,1,0,B5,1,0.0007356570276897401
9,1,1,0,A8,0,0.00014369008840731112
10,1,1,0,B5,1,0.001017301675346971
11,1,1,0,A2,0,0.0002819465180436964
12,1,1,0,B1,0,0.00012527602211775957
13,1,1,0,A11,0,0.0002556838335294742
14,1,1,0,B1,0,0.0001388601685903268
15,1,1,0,A7,0,0.00010625821687426651
16,2,1,0,B2,1,0.000974738015429466
17,2,1,0,A11,1,0.0007060737734718714
18,2,1,0,B3,1,0.0004989909994037589
19,2,1,0,A1,0,0.00011048439591831993
20,2,1,0,A8,1,0.0005192162852836191
21,2,1,0,B7,1,0.000497179780722945
22,2,1,0,B2,0,0.0006496240966953337
23,2,1,0,B1,1,0.0011217486717214342
24,2,1,0,A2,1,0.0007096962135619833
25,2,1,0,A1,1,0.0004971797798134503
26,2,1,0,A3,1,0.0004995947392671951
27,2,1,0,B5,0,0.0005014059597669984
28,2,1,0,A7,1,0.0005074433574918658
29,2,1,0,A9,0,0.00010625821596477181
30,2,1,0,B10,1,0.0004953685602231417
31,2,1,0,B7,1,0.00048299189347744687
32,3,1,0,A1,1,0.0005186125454201829
33,3,1,0,A3,0,0.0005409509203673224
34,3,1,0,B3,0,0.0006085697850721772
35,3,1,0,A2,0,0.00011923862348339753
36,3,1,0,A8,0,9.901333851303207e-05
37,3,1,0,A5,1,0.0012633256701519713
38,3,1,0,B4,1,0.0009964726496036747
39,3,1,0,B1,0,0.0001213517134601716
40,3,1,0,A5,0,0.00032994383764162194
41,3,1,0,B2,1,0.0004986891299267882
42,3,1,0,A5,1,0.0012986444535272312
43,3,1,0,B4,1,0.0004953685602231417
44,3,1,0,A11,1,0.0010580541156741674
45,3,1,0,B6,0,0.0005672136048815446
46,3,1,0,A8,0,0.00011229561550862854
47,3,1,0,A2,1,0.0005104620568090468
48,4,1,0,B2,1,0.0004845012435907847
49,4,1,0,A7,0,0.00014369008840731112
50,4,1,0,B6,1,0.0006254745012483909
51,4,1,0,A9,1,0.0007788244274706813
52,4,1,0,B7,1,0.0009853034625848522
53,4,1,0,B3,1,0.0005137826265126932
54,4,1,0,A9,1,0.0004926517312924261
55,4,1,0,A1,1,0.0007350532878263039
56,4,1,0,B10,1,0.0005014059588575037
57,4,1,0,A3,1,0.0012065741238984629
58,4,1,1,B6,0,0.00011289935446257005
59,4,1,0,B4,0,0.0006384549096765113
60,4,1,0,A7,0,0.00011048439500882523
61,4,1,0,B3,0,0.00011803114375652513
62,4,1,0,A9,1,0.0007567879229100072
63,4,1,0,B7,1,0.000498085390063352
