,RT,alienType,confidenceRating,response
0,5.141330849957512,A12,3,s
1,1.0533843290736513,B07,4,c
2,3.244160419235641,B03,3,c
3,1.208999017416545,A09,3,s
4,1.1670488831600778,B10,3,c
5,1.710985768384944,B01,4,c
6,1.3797829259863192,A01,4,s
7,3.0993200400278056,B08,2,s
8,3.2453597448604796,B06,2,c
9,2.1281289101470975,B12,1,s
10,4.441695356801574,B06,2,s
11,2.1829613049192176,B07,4,c
12,1.165343323185425,A10,1,s
13,0.9093502420234927,A02,1,s
14,2.715313966423082,A10,4,s
15,0.6665723829087256,A04,4,s
16,2.9045302993486075,B10,4,s
17,0.43575849874491723,B09,3,s
18,1.160917319584314,A09,3,s
19,1.36815251630469,A04,4,s
20,1.1596757322965914,A06,4,s
21,2.126494893130939,B03,3,c
22,1.5121017781596038,A05,4,s
23,1.687247694098005,B05,3,c
24,0.9501031637382766,B01,4,c
25,0.38771362893362493,B05,4,c
26,1.2041020981407655,B02,3,s
27,0.9620873639137244,A12,4,s
28,1.1852989786261787,A07,4,s
29,0.9348947005385071,B01,4,c
30,1.0072940611798913,B02,4,s
31,0.48770019576204504,A12,4,s
32,0.8092933397128945,B10,4,s
33,0.7076899624023554,A11,4,s
34,0.5728740496786031,A11,4,s
35,0.5936707122148164,B12,4,s
36,0.5676891473558499,A01,4,s
37,0.9181041417939468,A03,4,s
38,1.7236799645002066,B09,4,c
39,1.119653333614906,A03,4,s
40,0.5896748719696916,B04,4,s
41,1.450850440502336,B02,3,s
42,1.0360667070165164,B11,3,s
43,0.9088699684093626,B04,4,s
44,0.41605852636598684,A02,4,s
45,0.6080632234479708,A08,3,s
46,0.641644340936864,A05,4,s
47,0.4496656045907912,A04,4,s
48,0.6356694473834068,B08,4,s
49,0.5304632632946777,A01,4,s
50,0.5328465192237672,A09,4,s
51,0.9772408869516767,B02,4,s
52,0.4792300528724809,A01,4,s
53,0.4892693109386528,A11,4,s
54,0.5076597754998602,A03,4,s
55,0.740416790558811,B07,4,c
56,0.5900129652743544,A05,4,s
57,0.45125162443264344,A02,4,s
58,0.4688155716116853,A07,4,s
59,0.9108254759344163,B11,4,c
60,0.6760359767501996,B01,4,c
61,0.515228839358997,A12,4,s
62,0.5247995967029055,A06,4,s
63,0.7976101029526035,B09,4,c
64,0.384868513400761,B05,4,c
65,0.47962761437429435,A02,4,s
66,1.1604083684130728,B04,3,s
67,3.32917458443967,B07,4,c
68,0.7255898898026771,A09,4,s
69,0.7639936667878828,B06,4,c
70,0.43799112203191726,B03,2,c
71,1.346383231779555,B08,4,c
72,0.6572062927614297,B08,4,c
73,1.3115707905496947,A11,4,s
74,0.4079805113358361,B12,4,s
75,0.7504171075211161,A06,4,s
76,0.7679840733903802,A07,4,s
77,3.7059379145982803,B11,4,c
78,0.7759866211649751,A03,4,s
79,0.5039881425848307,B11,4,s
80,0.575584833496805,A08,4,s
81,0.9099745071612233,B06,4,c
82,4.060710992107488,B10,4,c
83,1.4035294526056532,B04,4,s
84,1.0531624553420897,B03,3,s
85,0.5299730280028143,B09,4,s
86,0.7667596926369242,B12,4,s
87,0.5367385165252472,A08,4,s
88,0.4927664635590645,A10,4,s
89,0.8235457837199647,A08,4,s
90,0.6183340150541881,A06,4,s
91,0.3843550341941864,A04,4,s
92,0.3767533684811042,A05,4,s
93,0.3679584145234003,A10,4,s
94,0.3671334064861185,A07,4,s
95,0.7871325310661632,B05,4,c
