,Block,Conditon,EnemyHitPlayer,EnemyType,Success,TotalTime
0,1,1,0,A5,1,0.0006864522283649421
1,1,1,0,B1,1,0.0004860105927946279
2,1,1,0,B1,1,0.0006613970235775923
3,1,1,0,B2,1,0.0006511334458991769
4,1,1,0,A3,1,0.0005044246581746847
5,1,1,0,A7,1,0.0005161975859664381
6,1,1,0,B10,1,0.0004126561989323818
7,1,1,0,B1,1,0.0007755038586765295
8,1,1,0,B6,1,0.0006897727980685886
9,1,1,0,B3,1,0.0005352153912099311
10,1,1,0,A2,1,0.0010239428138447693
11,1,1,0,A3,1,0.0004959723000865779
12,1,1,0,A5,1,0.0004989909994037589
13,1,1,0,B2,0,0.00010837130594154587
14,1,1,0,A8,1,0.0005077452278783312
15,1,1,0,B1,1,0.001009151186735835
16,2,1,0,B2,1,0.0005249518144410104
17,2,1,0,B7,1,0.0005005003495170968
18,2,1,0,B4,0,0.00012165358293714235
19,2,1,0,B10,0,0.00048299189256795216
20,2,1,0,A5,1,0.0004908405117021175
21,2,1,0,B4,0,0.00031424660028278595
22,2,1,0,B5,1,0.0006743774310962181
23,2,1,0,B3,1,0.0005919669392824289
24,2,1,0,B3,1,0.0010088493172588642
25,2,1,0,A1,1,0.0005071414871054003
26,2,1,0,A7,1,0.0004989909994037589
27,2,1,0,B7,1,0.0005038209183112485
28,2,1,0,B6,1,0.0008793471160970512
29,2,1,0,B2,0,0.00011621992416621652
30,2,1,0,B5,1,0.000504122788697714
31,2,1,0,B10,1,0.0004968779103364795
32,3,1,0,A7,1,0.0004935573406328331
33,3,1,0,B5,1,0.0004890292912023142
34,3,1,0,A1,1,0.0006822260493208887
35,3,1,0,B6,1,0.0005753640934926807
36,3,1,0,A9,1,0.0005098583169456106
37,3,1,0,B7,1,0.0004998966096536606
38,3,1,0,A5,1,0.0005140844968991587
39,3,1,0,A8,1,0.000498085390063352
40,3,1,0,A2,1,0.0005062358777649933
41,3,1,0,A1,1,0.0005089527076052036
42,3,1,0,A8,1,0.001128691680605698
43,3,1,0,A11,1,0.00047876571352389874
44,3,1,0,A3,1,0.000520121894624026
45,3,1,0,A8,1,0.0005095564474686398
46,3,1,0,A1,1,0.0006559633648066665
47,3,1,0,A11,1,0.0005068396176284296
48,4,1,0,A11,1,0.0007290158882824471
49,4,1,0,A2,1,0.001214120871736668
50,4,1,0,B6,1,0.0009424379322808818
51,4,1,0,A2,1,0.0004440506718310644
52,4,1,0,B3,1,0.0005038209192207432
53,4,1,0,B4,0,0.00011863488361996133
54,4,1,0,A3,1,0.0004935573406328331
55,4,1,0,A7,1,0.0004962741704730433
56,4,1,0,A9,1,0.0004977835205863812
57,4,1,0,B7,1,0.0005008022189940675
58,4,1,1,B4,0,0.0004576348183036316
59,4,1,0,A9,1,0.00043318335428921273
60,4,1,0,B5,1,0.0004992928697902244
61,4,1,0,A9,1,0.0004998966087441659
62,4,1,0,B10,1,0.00048359563334088307
63,4,1,0,A11,1,0.000507141488014895
