,Block,Conditon,EnemyHitPlayer,EnemyType,Success,TotalTime
0,1,1,0,A2,0,0.00023757163739901443
1,1,1,0,B5,0,0.00010867317610063765
2,1,1,0,B7,1,0.00047967132400117407
3,1,1,0,A5,0,0.0004817844135232008
4,1,1,0,B1,0,0.0006137015743661323
5,1,1,0,A9,0,0.00010988065560013638
6,1,1,0,A3,1,0.0005204237650104915
7,1,1,0,A11,0,0.0002363641578995157
8,1,1,0,B1,0,0.00012044610343764361
9,1,1,0,A11,0,0.00011531431437106221
10,1,1,0,A1,1,0.0006740755611645
11,1,1,0,B10,1,0.0004917461214972718
12,1,1,0,B7,1,0.0004851049827720999
13,1,1,0,B4,1,0.0006571708447609126
14,1,1,0,B5,0,0.00011229561505388119
15,1,1,0,A1,0,0.00011954049364248931
16,2,1,0,A3,1,0.0004959723003139516
17,2,1,0,A11,0,0.00011169187541781866
18,2,1,0,B2,0,0.00040058140143628407
19,2,1,0,A9,0,9.871146835394029e-05
20,2,1,0,B6,0,0.0004126561989323818
21,2,1,0,B3,1,0.000643586697833598
22,2,1,0,B3,1,0.0006315119003375003
23,2,1,0,A7,0,0.00023908098728497862
24,2,1,0,A7,1,0.0005029153089708416
25,2,1,0,B4,0,0.00011471057473499968
26,2,1,0,B7,1,0.0004820862834549189
27,2,1,0,A2,0,0.00010867317610063765
28,2,1,0,A2,0,0.00022610057999372657
29,2,1,0,B2,0,0.00011259748521297297
30,2,1,0,B10,1,0.0009886240316063777
31,2,1,0,A8,1,0.0004878218123849365
32,3,1,0,B5,1,0.0005119714069223846
33,3,1,0,B10,1,0.0005174050656933105
34,3,1,0,B3,0,0.00012014423350592551
35,3,1,0,B3,1,0.0005986080777802272
36,3,1,0,A3,1,0.0006846410085472598
37,3,1,0,A1,1,0.000746524345004218
38,3,1,0,B6,0,0.00011923862371077121
39,3,1,0,B6,1,0.0009883221616746596
40,3,1,0,B5,1,0.0005008022194488149
41,3,1,0,A8,1,0.0005243480741228268
42,3,1,0,A5,0,0.00010233390730718384
43,3,1,0,A5,0,0.0004277496955182869
44,3,1,0,B1,0,0.00011591805423449841
45,3,1,0,A3,1,0.0005107639271955122
46,3,1,0,B7,0,0.00012074797314198804
47,3,1,0,B1,1,0.00051589571603472
48,4,1,0,B2,1,0.0008914219131384016
49,4,1,0,A5,1,0.0005146882363078475
50,4,1,0,A7,0,0.0001177292740521807
51,4,1,0,A8,1,0.0010538279370848613
52,4,1,0,B6,1,0.00047303018550337583
53,4,1,0,B10,0,0.0006233614121811115
54,4,1,0,A9,0,0.00017900887041832902
55,4,1,0,A7,1,0.0004932554711558623
56,4,1,0,A8,0,0.0001944042371633259
57,4,1,0,A11,1,0.0009979819994896388
58,4,1,0,A9,1,0.0004938592110192985
59,4,1,0,B4,1,0.0009687006158856093
60,4,1,0,B2,1,0.00085610313090001
61,4,1,0,B4,1,0.000504122788697714
62,4,1,0,A2,1,0.0007661458905658947
63,4,1,0,A1,0,0.00010897504580498207
