,Balance,Block,Condition,EnemyHitPlayer,EnemySpeed,EnemyType,Success,TotalTime
0,1,1,3,0,1,A7,0,2.2400780635634874
1,1,1,3,0,1,B6,0,3.137388855262543
2,1,1,3,0,1,B7,1,3.1045614056274644
3,1,1,3,0,1,B1,1,2.289561186771607
4,1,1,3,0,1,B2,1,0.9127746827725787
5,1,1,3,0,1,B2,1,0.09657724776116083
6,1,1,3,0,1,A1,0,1.64818598810416
7,1,1,3,0,1,B4,1,1.408706532616634
8,1,1,3,0,1,A1,1,2.52872186760942
9,1,1,3,0,1,A6,1,3.6325180329549767
10,1,2,3,0,1,A9,1,2.3533795093717345
11,1,2,3,0,1,A3,0,2.608240445439151
12,1,2,3,0,1,B5,1,2.8805479543025285
13,1,2,3,0,1,A6,1,1.7770844496226346
14,1,2,3,0,1,B1,0,3.072463575619622
15,1,2,3,0,1,B3,0,3.168308788792274
16,1,2,3,0,1,A6,1,3.008293272678202
17,1,2,3,0,1,B6,0,1.9044020183027897
18,1,2,3,0,1,A2,0,3.0563974540291383
19,1,2,3,0,1,B5,1,3.1209254728419182
20,1,3,3,0,2,A7,1,1.2643453875025443
21,1,3,3,0,2,A3,0,2.09603297627109
22,1,3,3,0,2,B4,0,1.8242854361342324
23,1,3,3,0,2,A1,1,2.0164839095778007
24,1,3,3,0,2,B2,1,1.3285842149198288
25,1,3,3,0,2,A7,1,1.0243606017484126
26,1,3,3,0,2,B3,0,2.928324003038142
27,1,3,3,0,2,B6,0,2.0973110935701698
28,1,3,3,0,2,A6,1,1.0407298007521604
29,1,3,3,0,2,B3,1,2.144476157558529
30,1,4,3,0,2,B7,0,2.3683320327763795
31,1,4,3,0,2,A6,0,1.2643318033551623
32,1,4,3,0,2,A3,0,2.1280909594479454
33,1,4,3,0,2,A2,1,1.4244614263061521
34,1,4,3,0,2,A1,1,2.6246552268021333
35,1,4,3,0,2,B10,0,1.8723376958569133
36,1,4,3,0,2,B6,1,2.3848056787774112
37,1,4,3,0,2,B5,0,1.1522644018368737
38,1,4,3,0,2,A8,1,1.2003073035921261
39,1,4,3,0,2,B1,1,1.760836602332347
40,1,5,3,0,2,A5,0,1.664015443664539
41,1,5,3,0,2,B6,0,2.1283529825504957
42,1,5,3,0,2,B6,1,1.696437481981775
43,1,5,3,0,3,A2,0,2.0159577502836328
44,1,5,3,0,3,B1,1,1.2648033241930534
45,1,5,3,0,3,B2,0,1.7761881977912708
46,1,5,3,0,3,A2,0,2.176106391039866
47,1,5,3,0,3,A7,0,2.0042267828066542
48,1,5,3,0,3,A7,1,1.4248079729877645
49,1,5,3,0,3,A9,1,1.0885622991627315
50,1,6,3,1,3,A6,0,1.3122895777905796
51,1,6,3,0,3,A1,1,1.855202652834123
52,1,6,3,0,3,A8,0,1.3125404317033826
53,1,6,3,0,3,B5,1,0.8964580091378593
54,1,6,3,0,3,A1,1,1.0886048628235585
55,1,6,3,0,3,B2,0,1.3123753088511876
56,1,6,3,0,3,A2,1,1.9525221987605619
57,1,6,3,0,3,B7,0,1.4251240308076376
58,1,6,3,0,3,B2,0,1.728380452714191
59,1,6,3,0,3,B5,1,1.0245918341170182
60,1,7,3,0,2,B7,1,2.0806185918681877
61,1,7,3,0,2,A3,1,2.096669016222222
62,1,7,3,0,2,B5,1,2.656692079084678
63,1,7,3,0,2,A6,1,2.384661083078754
64,1,7,3,0,2,B5,0,1.5202088336191082
65,1,7,3,0,2,B6,1,3.056774489576128
66,1,7,3,0,2,A9,1,2.336057910728414
67,1,7,3,0,2,B2,1,2.768628167181305
68,1,7,3,0,2,B3,0,1.2000754674827476
69,1,7,3,0,2,B5,1,2.4483659025845554
70,1,8,3,0,2,A8,1,2.15925148331371
71,1,8,3,0,2,A1,1,2.1147265737618
72,1,8,3,0,2,A5,1,2.1124447389356646
73,1,8,3,0,2,A5,1,2.191566961542776
74,1,8,3,0,2,A8,0,1.9684455358728883
75,1,8,3,0,2,A8,0,2.512210789736855
76,1,8,3,0,2,A7,1,1.9515468570061785
77,1,8,3,0,2,A3,1,1.6970149591652444
78,1,8,3,0,2,B3,1,2.338024895212584
79,1,8,3,0,2,B1,0,2.7203848237913917
80,1,9,3,0,2,B4,0,3.1834693005821464
81,1,9,3,0,2,A3,1,2.3526870197438257
82,1,9,3,0,2,A1,1,3.267338126021059
83,1,9,3,0,2,B2,0,2.8002677586300706
84,1,9,3,0,2,B2,1,1.488966804872689
85,1,9,3,0,2,B5,1,2.0166961241411627
86,1,9,3,0,2,A8,0,2.5128489427770546
87,1,9,3,0,2,B3,1,2.0806231199167087
88,1,9,3,0,2,B3,1,1.7774925777739554
89,1,9,3,0,2,A5,1,1.1050290021539695
